year,family,species_id,species,landed_wtround_lbs,landed_wtround_kgs,metric_tonnes_round_wt,number_landed,landed_value,avg_value_per_lbs_num,meta_id,run_date,last_data_update,landing_year,vessel_length_category,vessel_length,shore_type
2013,Groundfish,100,"Cod, Atlantic",18120526,8219417,8219,0,8208902,0.453,0001,2020-09-23,2020-09-22T20:35:00Z,2013,All Vessels,NA,NA
2013,Groundfish,110,Haddock,180219,81747,82,0,77647,0.431,0001,2020-09-23,2020-09-22T20:35:00Z,2013,All Vessels,NA,NA
2013,Groundfish,120,Redfish,6597122,2992435,2992,0,5906512,0.895,0001,2020-09-23,2020-09-22T20:35:00Z,2013,All Vessels,NA,NA
2013,Groundfish,130,Halibut,1425243,646486,646,0,5486305,3.849,0001,2020-09-23,2020-09-22T20:35:00Z,2013,All Vessels,NA,NA
2013,Groundfish,144,Turbot/Greenland halibut,23759538,10777256,10777,0,50256565,2.115,0001,2020-09-23,2020-09-22T20:35:00Z,2013,All Vessels,NA,NA
2013,Groundfish,149,Flounders,21829697,9901886,9902,0,14697324,0.673,0001,2020-09-23,2020-09-22T20:35:00Z,2013,All Vessels,NA,NA
2013,Groundfish,160,Skate,695336,315402,315,0,85038,0.122,0001,2020-09-23,2020-09-22T20:35:00Z,2013,All Vessels,NA,NA
2013,Groundfish,170,Pollock,327647,148620,149,0,92532,0.282,0001,2020-09-23,2020-09-22T20:35:00Z,2013,All Vessels,NA,NA
2013,Groundfish,171,"Hake, white",618754,280665,281,0,232391,0.376,0001,2020-09-23,2020-09-22T20:35:00Z,2013,All Vessels,NA,NA
2013,Groundfish,173,Cusk,2900,1316,1,0,369,0.127,0001,2020-09-23,2020-09-22T20:35:00Z,2013,All Vessels,NA,NA
2013,Groundfish,177,Monkfish (Am angler),116083,52655,53,0,74758,0.644,0001,2020-09-23,2020-09-22T20:35:00Z,2013,All Vessels,NA,NA
2013,Groundfish,182,"Grenadier, rough-head",31094,14104,14,0,2082,0.067,0001,2020-09-23,2020-09-22T20:35:00Z,2013,All Vessels,NA,NA
2013,Groundfish,192,"Wolffish, Striped/ Atlantic",12496,5668,6,0,2513,0.201,0001,2020-09-23,2020-09-22T20:35:00Z,2013,All Vessels,NA,NA
2013,Pelagics,200,"Herring, Atlantic",65188615,29569362,29569,0,8149275,0.125,0001,2020-09-23,2020-09-22T20:35:00Z,2013,All Vessels,NA,NA
2013,Pelagics,250,Mackerel,11396769,5169541,5170,0,2836461,0.249,0001,2020-09-23,2020-09-22T20:35:00Z,2013,All Vessels,NA,NA
2013,Pelagics,254,"Tuna, bluefin",59219,26861,27,75,174775,2.951,0001,2020-09-23,2020-09-22T20:35:00Z,2013,All Vessels,NA,NA
2013,Pelagics,352,Eels,82581,37458,37,0,196070,2.374,0001,2020-09-23,2020-09-22T20:35:00Z,2013,All Vessels,NA,NA
2013,Pelagics,360,Capelin,66180661,30019351,30019,0,6021312,0.091,0001,2020-09-23,2020-09-22T20:35:00Z,2013,All Vessels,NA,NA
2013,Molluscs,612,"Scallop, Sea",2364913,1072717,1073,0,2492779,1.054,0001,2020-09-23,2020-09-22T20:35:00Z,2013,All Vessels,NA,NA
2013,Molluscs,615,Whelks,10459579,4744434,4744,0,6645652,0.635,0001,2020-09-23,2020-09-22T20:35:00Z,2013,All Vessels,NA,NA
2013,Molluscs,617,"Scallop, Iceland",885481,401652,402,0,788664,0.891,0001,2020-09-23,2020-09-22T20:35:00Z,2013,All Vessels,NA,NA
2013,Crustacean,700,Lobster,4802261,2178291,2178,0,17348404,3.613,0001,2020-09-23,2020-09-22T20:35:00Z,2013,All Vessels,NA,NA
2013,Crustacean,702,"Shrimp, Pandalus Borealis",204092143,92575589,92576,0,219478430,1.075,0001,2020-09-23,2020-09-22T20:35:00Z,2013,All Vessels,NA,NA
2013,Crustacean,705,"Crab, Queen/Snow",112033402,50818018,50818,0,220254688,1.966,0001,2020-09-23,2020-09-22T20:35:00Z,2013,All Vessels,NA,NA
2013,Crustacean,712,"Shrimp, Pandalus Montagui",10803561,4900463,4900,0,18149845,1.68,0001,2020-09-23,2020-09-22T20:35:00Z,2013,All Vessels,NA,NA
2013,Miscellaneous,959,Groundfish Heads,3835587,1739811,1740,0,7249270,1.89,0001,2020-09-23,2020-09-22T20:35:00Z,2013,All Vessels,NA,NA
2014,Groundfish,100,"Cod, Atlantic",22768178,10327578,10328,0,13253338,0.582,0002,2020-09-23,2020-09-22T20:35:00Z,2014,All Vessels,NA,NA
2014,Groundfish,110,Haddock,719309,326276,326,0,363464,0.505,0002,2020-09-23,2020-09-22T20:35:00Z,2014,All Vessels,NA,NA
2014,Groundfish,120,Redfish,4621905,2096482,2096,0,4270956,0.924,0002,2020-09-23,2020-09-22T20:35:00Z,2014,All Vessels,NA,NA
2014,Groundfish,130,Halibut,1846227,837443,837,0,7377904,3.996,0002,2020-09-23,2020-09-22T20:35:00Z,2014,All Vessels,NA,NA
2014,Groundfish,144,Turbot/Greenland halibut,25025470,11351479,11351,0,54476290,2.177,0002,2020-09-23,2020-09-22T20:35:00Z,2014,All Vessels,NA,NA
2014,Groundfish,149,Flounders,18203886,8257229,8257,0,11782019,0.647,0002,2020-09-23,2020-09-22T20:35:00Z,2014,All Vessels,NA,NA
2014,Groundfish,160,Skate,459250,208315,208,0,56066,0.122,0002,2020-09-23,2020-09-22T20:35:00Z,2014,All Vessels,NA,NA
2014,Groundfish,170,Pollock,740845,336045,336,0,236471,0.319,0002,2020-09-23,2020-09-22T20:35:00Z,2014,All Vessels,NA,NA
2014,Groundfish,171,"Hake, white",893457,405270,405,0,373791,0.418,0002,2020-09-23,2020-09-22T20:35:00Z,2014,All Vessels,NA,NA
2014,Groundfish,177,Monkfish (Am angler),8109,3678,4,0,4392,0.542,0002,2020-09-23,2020-09-22T20:35:00Z,2014,All Vessels,NA,NA
2014,Groundfish,182,"Grenadier, rough-head",19677,8925,9,0,1619,0.082,0002,2020-09-23,2020-09-22T20:35:00Z,2014,All Vessels,NA,NA
2014,Groundfish,192,"Wolffish, Striped/ Atlantic",143567,65122,65,0,6353,0.044,0002,2020-09-23,2020-09-22T20:35:00Z,2014,All Vessels,NA,NA
2014,Pelagics,200,"Herring, Atlantic",56727177,25731279,25731,0,5672718,0.1,0002,2020-09-23,2020-09-22T20:35:00Z,2014,All Vessels,NA,NA
2014,Pelagics,250,Mackerel,7566381,3432088,3432,0,1868896,0.247,0002,2020-09-23,2020-09-22T20:35:00Z,2014,All Vessels,NA,NA
2014,Pelagics,254,"Tuna, bluefin",51505,23363,23,66,196940,3.824,0002,2020-09-23,2020-09-22T20:35:00Z,2014,All Vessels,NA,NA
2014,Pelagics,360,Capelin,63627852,28861404,28861,0,9161549,0.144,0002,2020-09-23,2020-09-22T20:35:00Z,2014,All Vessels,NA,NA
2014,Molluscs,612,"Scallop, Sea",2604975,1181609,1182,0,2934368,1.126,0002,2020-09-23,2020-09-22T20:35:00Z,2014,All Vessels,NA,NA
2014,Molluscs,615,Whelks,5346916,2425345,2425,0,4102376,0.767,0002,2020-09-23,2020-09-22T20:35:00Z,2014,All Vessels,NA,NA
2014,Molluscs,617,"Scallop, Iceland",699286,317194,317,0,612119,0.875,0002,2020-09-23,2020-09-22T20:35:00Z,2014,All Vessels,NA,NA
2014,Crustacean,619,Sea cucumber,2063326,935919,936,0,722164,0.35,0002,2020-09-23,2020-09-22T20:35:00Z,2014,All Vessels,NA,NA
2014,Crustacean,700,Lobster,4663115,2115175,2115,0,18272073,3.918,0002,2020-09-23,2020-09-22T20:35:00Z,2014,All Vessels,NA,NA
2014,Crustacean,702,"Shrimp, Pandalus Borealis",168653268,76500620,76501,0,234062750,1.388,0002,2020-09-23,2020-09-22T20:35:00Z,2014,All Vessels,NA,NA
2014,Crustacean,704,"Crab, rock",158089,71709,72,0,63236,0.4,0002,2020-09-23,2020-09-22T20:35:00Z,2014,All Vessels,NA,NA
2014,Crustacean,705,"Crab, Queen/Snow",110116379,49948462,49948,0,257672551,2.34,0002,2020-09-23,2020-09-22T20:35:00Z,2014,All Vessels,NA,NA
2014,Crustacean,712,"Shrimp, Pandalus Montagui",9897023,4489260,4489,0,19299329,1.95,0002,2020-09-23,2020-09-22T20:35:00Z,2014,All Vessels,NA,NA
2014,Miscellaneous,959,Groundfish Heads,3128459,1419060,1419,0,7316540,2.339,0002,2020-09-23,2020-09-22T20:35:00Z,2014,All Vessels,NA,NA
2015,Groundfish,100,"Cod, Atlantic",23638581,10722390,10722,0,14440654,0.611,0003,2020-09-23,2020-09-22T20:35:00Z,2015,All Vessels,NA,NA
2015,Groundfish,110,Haddock,581683,263850,264,0,349559,0.601,0003,2020-09-23,2020-09-22T20:35:00Z,2015,All Vessels,NA,NA
2015,Groundfish,120,Redfish,9397099,4262496,4262,0,8716619,0.928,0003,2020-09-23,2020-09-22T20:35:00Z,2015,All Vessels,NA,NA
2015,Groundfish,130,Halibut,1441642,653924,654,0,6494211,4.505,0003,2020-09-23,2020-09-22T20:35:00Z,2015,All Vessels,NA,NA
2015,Groundfish,144,Turbot/Greenland halibut,24363181,11051066,11051,0,65208856,2.677,0003,2020-09-23,2020-09-22T20:35:00Z,2015,All Vessels,NA,NA
2015,Groundfish,149,Flounders,15450878,7008472,7008,0,10221230,0.662,0003,2020-09-23,2020-09-22T20:35:00Z,2015,All Vessels,NA,NA
2015,Groundfish,160,Skate,395679,179479,179,0,44466,0.112,0003,2020-09-23,2020-09-22T20:35:00Z,2015,All Vessels,NA,NA
2015,Groundfish,170,Pollock,473407,214736,215,0,204319,0.432,0003,2020-09-23,2020-09-22T20:35:00Z,2015,All Vessels,NA,NA
2015,Groundfish,171,"Hake, white",531019,240869,241,0,255227,0.481,0003,2020-09-23,2020-09-22T20:35:00Z,2015,All Vessels,NA,NA
2015,Groundfish,177,Monkfish (Am angler),90740,41160,41,0,68868,0.759,0003,2020-09-23,2020-09-22T20:35:00Z,2015,All Vessels,NA,NA
